的 de/di2/di4
箕 ji1
郧 yun2
琵 pi2
熹 xi1
蠼 qu2
吠 fei4
镂 lou4
菁 jing1
昶 chang3
辫 bian4
穗 sui4
镕 rong2
醴 li3
舵 duo4
昙 tan2
饺 jiao3
恬 tian2
黔 qian2
奂 huan4
耙 ba4/pa2
钵 bo1
嘈 cao2
踊 yong3
蛉 ling2
忱 chen2
墩 dun1
撬 qiao4
杲 gao3
菹 zu1
炫 xuan4
跻 ji1
叽 ji1
憔 qiao2
挝 zhua1/wo1
篆 zhuan4
袒 tan3
剃 ti4
诅 zu3
涎 xian2
璞 pu2
觽 wei2
撮 cuo1
硝 xiao1
萦 ying2
恙 yang4
阖 ge2/he2
栾 luan2
髻 ji4
倌 guan1
邺 ye4
嗖 sou1
锺 zhong1
骋 cheng3
稠 chou2
苯 ben3
饕 tao1
雉 zhi4
豕 shi3
诤 zheng4
吮 shun3
猝 cu4
樽 zun1
吆 yao1
沓 ta4
藕 ou3
淤 yu1
橹 lu3
觐 jin4
匝 za1
谯 qiao2/qiao4
茹 ru2
妪 yu4
吒 zha4
瘛 chi4
涞 lai2
阱 jing3
殁 mo4
缢 yi4
曙 shu3
傩 nuo2
酵 jiao4
郓 yun4
顼 xu4/xu1
赉 lai4
梵 fan4
蠹 du4
缙 jin4
铡 zha2
跸 bi4
觞 shang1
邯 han2
纭 yun2
懋 mao4
廿 nian4
钳 qian2
谝 pian3
汛 xun4
寰 huan2
橐 tuo2
眸 mou2
猖 chang1
劭 shao4
嚎 hao2
戾 li4
蹑 nie4
酪 lao4
苞 bao1
糙 cao1
诽 fei3
屉 ti4
捂 wu3
羹 geng1
擂 lei2/lei4
埠 bu4
歆 xin1
曷 he2
犊 du2
佬 lao3
苤 pie3
湃 pai4
阉 yan1
缨 ying1
笋 sun3
筝 zheng1
骥 ji4
瀑 bao4/pu4
鹄 gu3/hu2
焙 bei4
媪 ao3
儆 jing3
诔 lei3
溆 xu4
豚 tun2
卉 hui4
洼 wa1
醮 jiao4
憋 bie1
蛊 gu3
祟 sui4
谡 su4
砚 yan4
彤 tong2
蟒 mang3
琨 kun1
熘 liu1
翎 ling2
甭 beng2
檬 meng2
霹 pi1
菇 gu1
庖 pao2
炬 ju4
皎 jiao3
亵 xie4
悸 ji4
罄 qing4
凋 diao1
蛭 zhi4
茉 mo4
荼 tu2
兖 yan3
鬻 yu4
珂 ke1
畸 ji1
鹉 wu3
乒 ping1
皖 wan3
啄 zhuo2
呛 qiang1/qiang4
渝 yu2
繇 yao2/you2/zhou4
肋 lei4
眺 tiao4
蓿 xu
蹬 deng4/deng1
锄 chu2
轧 ya4/zha2
蠡 li2/li3
籴 di2
粱 liang2
谠 dang3
揆 kui2
霓 ni2
瑁 mao4
唔 en2
笫 zi3
铢 zhu1
韭 jiu3
眶 kuang4
啬 se4
闱 wei2
汶 wen4
葜 qia1
缰 jiang1
镏 liu2
桢 zhen1
邠 bin1
柿 shi4
呱 gu1/gua1
秤 cheng3/cheng4
腋 ye4
杳 yao3
愍 min3
雏 chu2
妗 jin4
漓 li2
獭 ta3
喙 hui4
淆 xiao2
瓮 weng4
墒 shang1
筐 kuang1
缭 liao2
骼 ge2
涸 he2
陂 pi2/po1/bei1
妞 niu1
裰 duo1
淙 cong2
峤 jiao4/qiao2
瘾 yin3
舫 fang3
咀 ju3
臼 jiu4
啃 ken3
斫 zhuo2
跤 jiao1
麝 she4
祔 fu4
俐 li4
骧 xiang1
邈 miao3
燮 xie4
荚 jia2
痊 quan2
渣 zha1
迤 yi2/yi3
鹞 yao4
砲 pao4
锢 gu4
琮 cong2
诖 gua4
踞 ju4
沌 dun4
磋 cuo1
疹 zhen3
塾 shu2
婷 ting2
貂 diao1
棣 di4
詈 li4
哆 duo1
袂 mei4
岫 xiu4
恻 ce4
滇 dian1
燎 liao2
堋 peng2
掇 duo1
渌 lu4
厩 jiu4
涟 lian2
桔 jie2/ju2
濉 sui1
鄱 po2
邃 sui4
嘤 ying1
讪 shan4
隧 sui4
纫 ren4
雳 li4
愆 qian1
蕖 qu2
悚 song3
夤 yin2
瞩 zhu3
锵 qiang1
庠 xiang2
睾 gao1
咭 ji1
畹 wan3
跛 bo3
髂 qia4
箍 gu1
滦 luan2
萼 e4
瑕 xia2
瓒 zan4
腑 fu3
竦 song3
亘 gen4
赜 ze2
阕 que4
媛 yuan2/yuan4
毂 gu1/gu3
魇 yan3
芮 rui4
浔 xun2
昵 ni4
翱 ao2
捅 tong3
黍 shu3
搔 sao1
鑫 xin1
俦 chou2
诃 he1
饯 jian4
辎 zi1
槭 qi4
疽 ju1
佚 yi4
糁 san3/shen1
痢 li4
暄 xuan1
癖 pi3
荔 li4
圜 huan2/yuan2
祺 qi2
喳 cha1/zha1
庑 wu3
呷 xia1/ga1
蹇 jian3
獠 liao2
翦 jian3
菏 he2
憬 jing3
阂 he2
曦 xi1
镌 juan1
羔 gao1
壹 yi1
勖 xu4
涔 cen2
掐 qia1
湍 tuan1
僦 jiu4
蒜 suan4
磬 qing4
辗 zhan3/nian3
唧 ji1
匏 pao2
髅 lou2
莅 li4
苻 fu2
茗 ming2
蛹 yong3
槊 shuo4
竣 jun4
骈 pian2
泵 beng4
隽 jun4
珥 er3
橙 cheng2
掺 chan1/shan3
芷 zhi3
荥 xing2/ying2
萤 ying2
暧 ai4
诋 di3
殓 lian4
偌 ruo4
轸 zhen3
娑 suo1
镐 gao3/hao4
淖 nao4
怏 yang4
搿 ge2
斓 lan2
诳 kuang2
蟀 shuai4
钪 kang4
忡 chong1
熳 man4
芄 wan2
磊 lei3
浒 hu3
孵 fu1
忝 tian3
雒 luo4
沥 li4
壅 yong1
盥 guan4
瘴 zhang4
嘁 qi1
暹 xian1
钠 na4
剽 piao1
缥 piao3/piao1
唆 suo1
舔 tian3
氤 yin1
蚴 you4
醯 xi1
虬 qiu2
烬 jin4
鳖 bie1
呤 ling2/ling4
帚 zhou3
苌 chang2
赀 zi1
笈 ji2
渍 zi4
玳 dai4
鹑 chun2
颢 hao4
狒 fei4
瓢 piao2
蔷 qiang2
逡 qun1
氲 yun1
蝠 fu2
颌 he2
哝 nong2
脓 nong2
昱 yu4
畋 tian2
嵋 mei2
茧 jian3
臁 lian2
踔 chuo1
隍 huang2
锌 xin1
跏 jia1
鬃 zong1
燧 sui4
咆 pao2
瘸 que2
昕 xin1
囱 cong1
砾 li4
扉 fei1
诜 shen1
鸨 bao3
嗄 a2/sha4
昴 mao3
煊 xuan1
瑙 nao3
拎 ling1/lin1
罡 gang1
藜 li2
疵 ci1
烽 feng1
迢 tiao2
猗 yi1
爻 yao2
煨 wei1
痉 jing4
龛 kan1
蹊 xi1/qi1
贽 zhi4
沔 mian3
挞 ta4
盅 zhong1
麒 qi2
骞 qian1
蕾 lei3
诒 yi2
橄 gan3
咪 mi1
洮 tao2
轲 ke1
铠 kai3
寤 wu4
戬 jian3
铣 xian3/xi3
漾 yang4
籽 zi3
幄 wo4
亳 bo2
诟 gou4
锏 jian3
婺 wu4
犒 kao4
诿 wei3
妊 ren4
狞 ning2
骷 ku1
惋 wan3
谚 yan4
橘 ju2
郸 dan1
锈 xiu4
胛 jia3
雠 chou2
谮 zen4
睫 jie2
弈 yi4
馒 man2
曝 pu4
哽 geng3
阪 ban3
淞 song1
洳 ru4
蟪 hui4
厝 cuo4
噩 e4
谆 zhun1
啻 chi4
闼 ta4
嗝 ge2
淇 qi2
瀚 han4
宕 dang4
惴 zhui4
颔 han4
坍 tan1
覃 tan2
硅 gui1
袤 mao4
唠 lao2/lao4
惆 chou2
晷 gui3
琰 yan3
恂 xun2
镒 yi4
蛞 kuo4
揩 kai1
旒 liu2
憨 han1
醺 xun1
疡 yang2
彷 pang2
憧 chong1
逶 wei1
莒 ju3
啜 chuo4
蚓 yin3
峒 tong2/dong4
馑 jin3
肱 gong1
藐 miao3
獗 jue2
癞 lai4
滓 zi3
伢 ya2
珑 long2
惘 wang3
狎 xia2
饔 yong1
莘 shen1/xin1
捱 ai2
裆 dang1
鲇 nian2
蜗 wo1
胱 guang1
窠 ke1
蜃 shen4
鞑 da2
魑 chi1
抨 peng1
噗 pu1
钍 tu3
薯 shu3
粢 zi1
窈 yao3
蕲 qi2
韂 chan4
逖 ti4
舛 chuan3
釜 fu3
湫 jiao3/qiu1
緝 ji1
鹗 e4
帑 tang3
鄜 fu1
碛 qi4
挈 qie4
俪 li4
芹 qin2
仄 ze4
蚪 dou3
踝 huai2
侔 mou2
馥 fu4
叵 po3
拌 ban4
狙 ju1
荻 di2
骊 li2
啧 ze2
啖 dan4
嬖 bi4
焓 han2
皈 gui1
蘸 zhan4
盂 yu2
倔 jue2/jue4
蛴 qi2
橛 jue2
蜒 yan2
喏 re3/nuo4
恿 yong3
葆 bao3
蓖 bi4
愫 su4
煲 bao1
蠖 huo4
碇 ding4
肛 gang1
绚 xuan4
莞 guan1/guan3/wan3
榭 xie4
馍 mo2
匚 fang1/qu1
隼 sun3
燔 fan2
弋 yi4
袢 pan4
蚤 zao3
倨 ju4
澎 peng2
鞯 jian1
玷 dian4
阼 zuo4
皿 min3
鋈 wu4
哒 da1
浜 bang1
朐 qu2
瘠 ji2
蚌 bang4
拊 fu3
浼 mei3
缶 fou3
俣 yu3
婵 chan2
碾 nian3
嶂 zhang4
邳 pi1
霁 ji4
霭 ai3
羰 tang1
砺 li4
楫 ji2
琬 wan3
咔 ka1
鹭 lu4
阆 lang2
娠 shen1
牖 you3
祉 zhi3
抉 jue2
绦 tao1
簸 bo3/bo4
豺 chai2
沅 yuan2
蹂 rou2
髡 kun1
猥 wei3
鲋 fu4
鸵 tuo2
阋 xi4
曛 xun1
蟮 shan4
缯 zeng1/zeng4
岷 min2
宓 mi4
芪 qi2
淅 xi1
黝 you3
桅 wei2
伫 zhu4
诓 kuang1
咂 za1
绻 quan3
臆 yi4
缫 sao1
绱 shang4
钔 men2
拮 jie2
槌 chui2
砥 di3
奘 zang4/zhuang3
洵 xun2
旃 zhan1
馐 xiu1
蹿 cuan1
锚 mao2
旄 mao2/mao4
疙 ge1
箴 zhen1
靼 da2
啾 jiu1
嗍 suo1
筏 fa2
俅 qiu2
蚨 fu2
骰 tou2
蚩 chi1
粑 ba1
楹 ying2
靳 jin4
躔 chan2
徭 yao2
箓 lu4
杵 chu3
秧 yang1
嗷 ao2
咫 zhi3
笪 da2
淦 gan4
孀 shuang1
牝 pin4
馁 nei3
筮 shi4
蛑 mou2
耘 yun2
缤 bin1
鹬 yu4
笳 jia1
嗒 ta4/da1
奁 lian2
卮 zhi1
馕 nang2
蚣 gong1
蚯 qiu1
蛩 qiong2
坂 ban3
鍪 mou2
汕 shan4
寮 liao2
鸪 gu1
晡 bu1
婕 jie2
捺 na4
崽 zai3
钿 dian4/tian2
聆 ling2
懵 meng3
楣 mei2
裎 cheng2
菟 tu4/tu2
侗 dong4/tong2
湎 mian3
毖 bi4
瘩 da2
闳 hong2
灏 hao4
蛤 ge2/ha2
诨 hun4
瞑 ming2
镀 du4
坷 ke3
簌 su4
煦 xu4
攫 jue2
氮 dan4
痔 zhi4
苁 cong1
阄 jiu1
舨 ban3
湄 mei2
咴 hui1
佗 tuo2
炜 wei3
哧 chi1
罴 pi2
莆 pu2
嗉 su4
螂 lang2
撂 liao4
悌 ti4
镯 zhuo2
粜 tiao4
跣 xian3
艄 shao1
髃 yu2
碉 diao1
炖 dun4
趺 fu1
褶 xi2/zhe3
诹 zou1
喋 die2
蘑 mo2
楠 nan2
衿 jin1
徼 jiao3/jiao4
灸 jiu3
疟 nue4/yao4
橇 qiao1
怆 chuang4
阏 e4/yan1
彀 gou4
盍 he2
揍 zou4
禘 di4
樟 zhang1
巅 dian1
饴 yi2
醢 hai3
祇 qi2
龈 ken3/yin2
刨 bao4/pao2
谇 sui4
逯 lu4
腓 fei2
魃 ba2
倬 zhuo1
谶 chen4
薮 sou3
呶 nao2
歙 she4/xi1
漪 yi1
舐 shi4
祜 hu4
羯 jie2
邛 qiong2
愠 yun4
璐 lu4
嗬 he1
涑 su4
媲 pi4
怦 peng1
逅 hou4
轶 yi4
铉 xuan4
翡 fei3
逦 li3
罟 gu3
惦 dian4
偻 lou2/lv3
黠 xia2
傀 gui1/kui3
涝 lao4
撵 nian3
嗑 ke4/ke1
窕 tiao3
衲 na4
镁 mei3
蜓 ting2
殄 tian3
岬 jia3
菽 shu1
颙 yu2
郴 chen1
乩 ji1
璜 huang2
颛 zhuan1
哂 shen3
馅 xian4
茏 long2
泓 hong2
赓 geng1
瞟 piao3
瞳 tong2
曩 nang3
漉 lu4
娓 wei3
悻 xing4
勰 xie2
阃 kun3
钚 bu4
笄 ji1
觊 ji4
荃 quan2
糠 kang1
粼 lin2
龊 chuo4
脐 qi2
芤 kou1
澶 chan2
濯 zhuo2
嚓 cha1
榈 lu:2/lv2
跺 duo4
醪 lao2
榄 lan3
裾 ju1
蹶 jue2/jue3
嗫 nie4
瓯 ou1
嵇 ji1
芥 jie4
岌 ji2
阒 qu4
嗥 hao2
腚 ding4
裼 ti4
跚 shan1
墀 chi2
荤 hun1
俳 pai2
妍 yan2
霾 mai2
穰 rang2
笮 ze2
恽 yun4
潢 huang2
遑 huang2
锷 e4
隗 wei3
镆 mo4
餍 yan4
袷 jia2
鼐 nai4
飧 sun1
瘗 yi4
殒 yun3
鸩 zhen4
辘 lu4
飒 sa4
鼾 han1
惬 qie4
儡 lei3
煳 hu2
咛 ning2
黏 nian2
槁 gao3
胍 gua1
娉 ping1
鲈 lu2
笸 po3
箸 zhu4
卣 you3
栩 xu3
鸱 chi1
笕 jian3
笤 tiao2
刈 yi4
锍 liu3
倜 ti4
鄢 yan1
洎 ji4
蒿 hao1
鲆 ping2
媸 chi1
圩 wei2/xu1
菔 fu2
喟 kui4
濡 ru2
胙 zuo4
蚱 zha4
羸 lei2
淝 fei2
铿 keng1
侏 zhu1
阍 hun1
澧 li3
珏 jue2
裟 sha1
喑 yin1
孪 luan2
髀 bi4
剐 gua3
筱 xiao3
嶷 yi2
榔 lang2
糯 nuo4
渖 shen3
舸 ge3
涪 fu2
炅 gui4
娲 wa1
夥 huo3
蹭 ceng2/ceng4
榛 zhen1
鼋 yuan2
宄 gui3
鹧 zhe4
暝 ming2
袈 jia1
滂 pang1
弭 mi3
棹 zhuo1/zhao4
蝎 xie1
摈 bin4
痘 dou4
驷 si4
抿 min3
焊 han4
赝 yan4
胭 yan1
颎 jiong3
蜻 qing1
刖 yue4
蛰 zhe2/zhi2
醫 yi1
泸 lu2
呗 bai4/bei
蚧 jie4
囟 xin4
沱 tuo2
锜 yi3
窿 long2
缟 gao3
晾 liang4
峪 yu4
慵 yong1
帻 ze2
锹 qiao1
鞴 bei4
倮 luo3
菸 yan1
渫 xie4
汞 gong3
馋 chan2
拄 zhu3
藓 xian3
肽 tai4
诎 qu1
栉 zhi4
翳 yi4
魉 liang3
讦 jie2
虱 shi1
蛐 qu1
蜷 quan2
躏 lin4
鳄 e4
顗 yi3
榨 zha4
瞰 kan4
镉 ge2
鲨 sha1
屹 yi4
啮 nie4
搪 tang2
蟋 xi1
虺 hui1/hui3
閤 ge1
捌 ba1
玮 wei3
刎 wen3
崧 song1
苫 shan1
菀 wan3
饨 tun2
祫 xia2
邙 mang2
叼 diao1
闩 shuan1
俑 yong3
鄯 shan4
呓 yi4
邾 zhu1
苡 yi3
虿 chai4
蛄 gu1
呸 pei1
蒯 kuai3
锸 cha1
畚 ben3
扪 men2
甯 ning2
缜 zhen3
帏 wei2
踅 chi4/xue2
髟 biao1
婊 biao3
稔 ren3
搐 chu4
笊 zhao4
偾 fen4
碘 dian3
阗 tian2
潺 chan2
硪 wo4
蠛 mie4
垡 fa2
穀 yu4
岖 qu1
黼 fu3
骶 di3
嬗 shan4
恫 dong4
垛 duo3/duo4
嗲 dia3
苋 xian4
瑗 yuan4
沤 ou1/ou4
畛 zhen3
鹨 liu4
耷 da1
懔 lin3
漩 xuan2
鼙 pi2
珙 gong3
钅 jin1
缁 zi1
铰 jiao3
镰 lian2
粕 po4
鄄 juan4
梆 bang1
翕 xi4/xi1
桦 hua4
罱 lan3
濂 lian2
哚 duo3
矍 jue2
缣 jian1
铐 kao4
浯 wu2
虻 meng2
竽 yu2
蝌 ke1
薏 yi4
槟 bin1/bing1
觇 zhan1/chan1
甬 yong3
怿 yi4
釐 li2
胗 zhen1
甑 zeng4
坯 pi1
郦 li4
嘣 beng1
噎 ye1
湓 pen2
妩 wu3
谰 lan2
腆 tian3
淠 pi4
烨 ye4
飕 sou1
蜈 wu2
刽 gui4
萑 huan2
缬 xie2
赊 she1
疣 you2
泯 min3
氟 fu2
痈 yong1
獾 huan1
仞 ren4
蠊 lian2
讣 fu4
葺 qi4
馗 kui2
柚 you4
憩 qi4
罂 ying1
魍 wang3
暌 kui2
颦 pin2
柑 gan1
楔 xie1
璨 can4
樯 qiang2
跎 tuo2
祎 yi1
浞 zhuo2
樾 yue4
椽 chuan2
苓 ling2
涠 wei2
隰 xi2
萱 xuan1
旆 pei4
蜿 wan1
墼 ji1
胝 zhi1
鹆 yu4
滁 chu2
锨 xian1
馄 hun2
婀 e1
匐 fu2
凼 dang4
樗 chu1
胨 dong4
畲 yu2/she1
霰 xian4
臬 nie4
肓 huang1
硎 xing2
墉 yong1
鹳 guan4
槎 cha2
殇 shang1
旖 yi3
钭 tou3
罅 xia4
蹩 bie2
嵬 wei2
馊 sou1
褫 chi3
藥 yao4
巽 xun4
衹 ti3
芾 fei4/fu2
抻 chen1
掬 ju1
茬 cha2
芨 ji2/ji1
闶 kang1
鞣 rou2
诶 ei1
瘪 bie3
睽 kui2
钌 liao3
嗌 ai4
饫 yu4
阌 wen2
龌 wo4
臊 sao1/sao4
蚬 xian3
钾 jia3
荪 sun1
謇 jian3
缈 miao3
腴 yu2
蝙 bian1
莩 fu2/piao3
蛳 si1
酚 fen1
芰 ji4
妲 da2
庥 xiu1
鐸 duo2
攥 zuan4
峋 xun2
芟 shan1
撺 cuan1
盱 xu1
赭 zhe3
狰 zheng1
脩 you3
嚏 ti4
艉 wei3
祧 tiao1
镣 liao4
芩 qin2
姗 shan1
螃 pang2
髁 ke1
芏 du4
腌 yan1
陉 xing2
飙 biao1
郅 zhi4
褡 da1
粝 li4
溟 ming2
魈 xiao1
艿 nai3
钛 tai4
鞒 qiao2
泞 ning4
籁 lai4
鬯 chang4
芗 xiang1
鳃 sai1
娣 di4
瘁 cui4
苷 gan1
甓 pi4
蛎 li4
摒 bing4
臃 yong1
匦 gui3
锰 meng3
鹩 liao2
龆 tiao2
蘧 qu2
阈 yu4
旰 gan4
戢 ji2
齑 ji1
肫 zhun1
钣 ban3
囿 you4
睑 jian3
篓 lou3
噫 yi1
茁 zhuo2
厣 yan3
绡 xiao1
焱 yan4
绺 liu3
舻 lu2
敉 mi3
岘 xian4
嵊 sheng4
眈 dan1
龉 yu3
蔗 zhe4
嵘 rong2
琥 hu3
鹫 jiu4
嬴 ying2
裢 lian2
吣 qin4
溲 sou1
莼 chun2
肷 qian3
荟 hui4
傣 dai3
啐 cui4
虼 ge4
飓 ju4
玖 jiu3
诼 zhuo2
庋 gui3
秣 mo4
榱 cui1
攵 fan3
箧 qie4
縻 mi2
鄣 zhang1
喾 ku4
萁 qi2
捋 lu:3/luo1/lv3
笱 gou3
匍 pu2
薜 bi4
饩 xi4
焐 wu4
佼 jiao3
麋 mi2
缵 zuan3
羚 ling2
犍 jian1
烊 yang2
噤 jin4
龅 pao2/bao1
眇 miao3
苴 ju1
徨 huang2
搴 qian1
剁 duo4
膂 lu:3/lv3
鲂 fang2
鸷 zhi4
娩 mian3/wan3
劬 qu2
葑 feng1
饽 bo1
媾 gou4
炔 que1/gui4
傧 bin1
缌 si1
碣 jie2
卟 bu3
榕 rong2
嘧 mi4
莸 you2
葭 jia1
篙 gao1
焖 men4
堇 jin3
盹 dun3
锒 lang2
撅 jue1
乇 tuo1
愎 bi4
灞 ba4
瞽 gu3
讵 ju4
雩 yu2
浠 xi1
鼍 tuo2
鞔 man2
黾 min3/mian3
藁 gao3
膑 bin4
椰 ye1
萋 qi1
酆 feng1
蹒 pan2
隳 hui1
阊 chang1
抠 kou1
浃 jia1
绐 dai4
碓 dui4
陲 chui2
榇 chen4
羝 di1
祛 qu1
獬 xie4
蜚 fei3/fei1
秆 gan3
蓑 suo1
夯 hang1/ben4
厍 she4
谲 jue2
杼 zhu4
掂 dian1
芫 yuan2
芡 qian4
枞 cong1
锶 si1
癯 qu2
鋆 yun2
嗾 sou3
皙 xi1
蕤 rui2
汜 si4
跫 qiong2
郃 xia2
郯 tan2
郾 yan3
泠 ling2
砀 dang4
纛 dao4
镠 liao2
迓 ya4
圉 yu3
嗵 tong1
幺 yao1
卅 sa4
嶙 lin2
禳 rang2
蟊 mao2
醵 ju4
沆 hang4
洄 hui2
蚋 rui4
郗 chi1/xi1
瞌 ke1
町 ting3/ding1
裱 biao3
鹾 cuo2
艮 gen4
蓓 bei4
睨 ni4
鹚 ci2
髌 bin4
肜 rong2
诂 gu3
戡 kan1
箔 bo2
湔 jian1
亓 qi2
锼 sou1
跹 xian1
皑 ai2
驺 zou1
褰 qian1
睐 lai4
茔 ying2
鼗 tao2
赙 fu4
耪 pang3
咝 si1
嫠 li2
鸬 lu2
纮 hong2
蚜 ya2
粽 zong4
栎 li4
蚰 you2
舀 yao3
凫 fu2
饪 ren4
淼 miao3
铄 shuo4
砩 fei4/fu2
蛱 jia2
呒 fu3/mu2
挎 kua4
摭 zhi2
柘 zhe4
蛀 zhu4
嗪 qin2
趸 dun3
嘏 gu3/jia3
萸 yu2
峄 yi4
崴 wei1/wai3
酮 tong2
禋 yin1
崞 guo1
鹜 wu4
霏 fei1
芋 yu4
讴 ou1
踹 chuai4
钕 nu:3/nv3
伉 kang4
蚝 hao2
氪 ke4
龇 zi1
瞠 cheng1
鹪 jiao1
濑 lai4
錾 zan4
蛆 qu1
呔 tai3
瓠 hu4
龃 ju3
衽 ren4
虮 ji3
鏊 ao4
绉 zhou4
鸢 yuan1
褴 lan2
岢 ke3
涮 shuan4
碜 chen3
雎 ju1
舳 zhu2
榧 fei3
靓 jing4/liang4
骘 zhi4
衩 cha3/cha4
貉 hao2/he2/mo4
癣 xuan3
窭 ju4
铛 cheng1/dang1
槿 jin3
黥 qing2
畈 fan4
锲 qie4
鹕 hu2
跞 li4
侑 you4
苄 bian4
缃 xiang1
枋 fang1
槲 hu2
眙 yi2
缡 li2
肄 yi4
嵛 yu2
羧 suo1
苣 ju4
崾 yao3
痫 xian2
赳 jiu1
醭 bu2
氦 hai4
酗 xu4
昃 ze4
氡 dong1
綦 qi2
殚 dan1
餮 tie4
莓 mei2
囔 nang1
氅 chang3
炷 zhu4
褛 lu:3/lv3
觌 di2
痞 pi3
愦 kui4
甙 dai4
砧 zhen1
缛 ru4
枰 ping2
觎 yu2
旎 ni3
懑 men4
锩 juan4/juan3
癜 dian4
殂 cu2
熠 yi4
砣 tuo2
缒 zhui4
鹌 an1
颚 e4
黩 du2
洙 zhu1
渑 sheng2/mian3
硖 xia2
饧 xing2/tang2
缇 ti2
舂 chong1
吡 bi3
锉 cuo4
窳 yu3
踰 yao2
娌 li3
跽 ji4
怙 hu4
藿 huo4
鄞 yin2
绌 chu4
窬 yu2
遄 chuan2
穸 xi1
髑 du2
腼 mian3
栊 long2
戕 qiang1
琊 ya2
杓 biao1/shao2
氩 ya4
袼 ge1
鳏 guan1
疱 pao4
珩 heng2
矾 fan2
垩 e4
汩 gu3
髭 zi1
暾 tun1
靥 ye4
恹 yan1
仝 tong2
萘 nai4
罘 fu2
戛 jia2
孥 nu2
焯 chao1
呦 you1
痣 zhi4
冽 lie4
疃 tuan3
乜 mie1/nie4
蘅 heng2
砭 bian1
酺 pu2
煸 bian1
僬 jiao1
鲎 hou4
悛 quan1
榘 ju3
瘀 yu1
窆 bian3
麈 zhu3
囤 dun4/tun2
鲫 ji4
菡 han4
慝 te4
荅 da2
绖 die2
瑭 tang2
忑 te4
忐 tan3
悫 que4
琚 ju1
劢 mai4
锴 kai3
垠 yin2
孑 jie2
骛 wu4
螳 tang2
邬 wu1
畀 bi4
阡 qian1
逭 huan4
嫱 qiang2
旮 ga1
晗 han2
艚 cao2
竑 hong2
馓 san3
榉 ju3
蚍 pi2
赧 nan3
槠 zhu1
嚅 ru2
璀 cui3
菰 gu1
姹 cha4
筘 kou4
祏 shi2
敫 jiao3
镳 biao1
骱 xie4/jie4
韫 yun4
缦 man4
绲 gun3
蟛 peng2
愀 qiao3
胂 shen4
鏖 ao2
啕 tao2
邂 xie4
桡 rao2
崆 kong1
梏 gu4
鳅 qiu1
嘌 piao4
胩 ka3
纡 yu1
鲠 geng3
廨 xie4
璩 qu2
楮 chu3
遨 ao2
耒 lei3
谳 yan4
螭 chi1
檎 qin2
趿 ta1
誊 teng2
聒 guo1
蹴 cu4
莨 lang4
旯 la2
耦 ou3
炱 tai2
蛏 cheng1
圪 ge1
箩 luo2
糇 hou2
搽 cha2
缱 qian3
杈 cha1/cha4
鸺 xiu1
缂 ke4
觳 hu2
跗 fu1
遴 lin2
汐 xi1
铱 yi1
蚶 han1
鳗 man2
砉 hua1
儋 dan1
芑 qi3
椴 duan4
锊 lue4
掸 dan3
锖 qiang1
窨 xun1/yin4
龀 chen4
胯 kua4
峥 zheng1
熨 yu4/yun4
孳 zi1
圻 qi2
槔 gao1
豌 wan1
剜 wan1
朊 ruan3
锫 pei2
蘩 fan2
鹁 bo2
訾 zi1/zi3
硗 qiao1
窀 zhun1
鱿 you2
柰 nai4
簋 gui3
椁 guo3
蛘 yang2
苎 zhu4
沣 feng1
爨 cuan4
遘 gou4
圮 pi3
鞲 gou1
缋 hui4
坳 ao4
磔 zhe2
姒 si4
缑 gou1
襁 qiang3
哐 kuang1
姣 jiao1
妣 bi3
菪 dang4
蘖 nie4
闇 an1
峁 mao3
迕 wu3
彘 zhi4
赟 yun1
菅 jian1
炝 qiang4
芎 xiong1
锎 kai1
篝 gou1
烀 hu1
怵 chu4
瓴 ling2
這 zhe4
镫 deng4
羿 yi4
崂 lao2
醚 mi2
铬 ge4
掰 bai1
蕨 jue2
裣 lian3
經 jing1
镭 lei2
袴 ku4
佘 she2
嫘 lei2
熵 shang1
芊 qian1
獯 xun1
闿 kai3
昝 zan3
锿 ai1
骖 can1
蓼 liao3/lu4
嬲 niao3
媵 ying4
闫 yan2
逑 qiu2
薅 hao1
嘹 liao2
锟 kun1
裉 ken4
跬 kui3
艟 chong1
鸶 si1
薷 ru2
哙 kuai4
锛 ben1
蜥 xi1
銎 qiong1/qiong2
咿 yi1
唏 xi1
肭 na4
罾 zeng1
钋 po1
韪 wei3
醣 tang2
泺 luo4
蔺 lin4
桎 zhi4
欹 yi1
羟 qiang3
苊 e4
脍 kuai4
锝 de2
咤 zha4
嘞 lei
屐 ji1
庀 pi3
孢 bao1
枳 zhi3
肼 jing3
艏 shou3
氚 chuan1
硭 mang2
钫 fang1
畎 quan3
馘 guo2
砬 la2
楸 qiu1
锕 a1
鲑 gui1
卺 jin3
舄 xi4
慊 qian4/qie4
肟 wo4
砗 che1
褓 bao3
螟 ming2
趱 zan3
豳 bin1
柠 ning2
鸲 qu2
搠 shuo4
艽 jiao1
姘 pin1
嫒 ai4
襦 ru2
葩 pa1
蕹 weng4
獐 zhang1
咻 xiu1
舁 yu2
岵 hu4
摞 luo4
罍 lei2
妤 yu2
佶 ji2
邽 gui1
欷 xi1
舾 xi1
掎 ji3
绀 gan4
碴 cha2
啷 lang1
萆 bi4
蛲 nao2
蟑 zhang1
钯 ba3
瞭 liao3
噙 qin2
戆 zhuang4/gang4
舯 zhong1
眚 sheng3
璁 cong1
嘭 peng1
杷 pa2
昀 yun2
砝 fa3
